"set","placement","input","value","rangeLow","rangeHigh","central","question"
"adverse","What would have to be true: Corolla Touring Sports Hybrid third-life at 20000 km/yr","annualKm",,10000,20000,20000,"At what yearly distance does this placement meet €450 all-in under MML?"
"adverse","What would have to be true: Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.lifecycle.structuralLifeYears",,12,30,12,"How long must the vehicle's structural life be for MML to cost what long-term rental costs?"
"adverse","What would have to be true: Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.fleetCostOfCapital",,0,0.15,0.07,"At what fleet cost of capital does MML cost what long-term rental costs?"
"adverse","What would have to be true: Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.laterLifeConsumptionFactor",0.21,0.2,2,1,"At what later-life consumption factor does MML cost what long-term rental costs?"
"adverse","What would have to be true: Corolla Touring Sports new at 20000 km/yr","annualKm",,10000,20000,20000,"At what yearly distance does this placement meet €450 all-in under MML?"
"adverse","What would have to be true: Corolla Touring Sports new at 20000 km/yr","vehicle.lifecycle.structuralLifeYears",,6,30,12,"How long must the vehicle's structural life be for MML to cost what long-term rental costs?"
"adverse","What would have to be true: Corolla Touring Sports new at 20000 km/yr","finance.fleetCostOfCapital",,0,0.15,0.07,"At what fleet cost of capital does MML cost what long-term rental costs?"
"adverse","What would have to be true: Corolla Touring Sports new at 20000 km/yr","finance.firstLifeConsumptionFactor",0.46,0.2,2,1.3,"At what first-life consumption factor does MML cost what long-term rental costs?"
"central","What would have to be true: Corolla Touring Sports Hybrid third-life at 20000 km/yr","annualKm",,10000,20000,20000,"At what yearly distance does this placement meet €450 all-in under MML?"
"central","What would have to be true: Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.lifecycle.structuralLifeYears",22.5,12,30,15,"How long must the vehicle's structural life be for MML to cost what long-term rental costs?"
"central","What would have to be true: Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.fleetCostOfCapital",,0,0.15,0.05,"At what fleet cost of capital does MML cost what long-term rental costs?"
"central","What would have to be true: Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.laterLifeConsumptionFactor",0.48,0.2,2,0.9,"At what later-life consumption factor does MML cost what long-term rental costs?"
"central","What would have to be true: Corolla Touring Sports new at 20000 km/yr","annualKm",,10000,20000,20000,"At what yearly distance does this placement meet €450 all-in under MML?"
"central","What would have to be true: Corolla Touring Sports new at 20000 km/yr","vehicle.lifecycle.structuralLifeYears",20.5,6,30,15,"How long must the vehicle's structural life be for MML to cost what long-term rental costs?"
"central","What would have to be true: Corolla Touring Sports new at 20000 km/yr","finance.fleetCostOfCapital",0.0246,0,0.15,0.05,"At what fleet cost of capital does MML cost what long-term rental costs?"
"central","What would have to be true: Corolla Touring Sports new at 20000 km/yr","finance.firstLifeConsumptionFactor",0.87,0.2,2,1.2,"At what first-life consumption factor does MML cost what long-term rental costs?"
"optimistic","What would have to be true: Corolla Touring Sports Hybrid third-life at 15000 km/yr","annualKm",,10000,15000,15000,"At what yearly distance does this placement meet €450 all-in under MML?"
"optimistic","What would have to be true: Corolla Touring Sports Hybrid third-life at 15000 km/yr","vehicle.lifecycle.structuralLifeYears",22,12,30,18,"How long must the vehicle's structural life be for MML to cost what long-term rental costs?"
"optimistic","What would have to be true: Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.fleetCostOfCapital",0.0199,0,0.15,0.04,"At what fleet cost of capital does MML cost what long-term rental costs?"
"optimistic","What would have to be true: Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.laterLifeConsumptionFactor",0.59,0.2,2,0.8,"At what later-life consumption factor does MML cost what long-term rental costs?"
"optimistic","What would have to be true: Corolla Touring Sports new at 15000 km/yr","annualKm",,10000,15000,15000,"At what yearly distance does this placement meet €450 all-in under MML?"
"optimistic","What would have to be true: Corolla Touring Sports new at 15000 km/yr","vehicle.lifecycle.structuralLifeYears",19.5,6,30,18,"How long must the vehicle's structural life be for MML to cost what long-term rental costs?"
"optimistic","What would have to be true: Corolla Touring Sports new at 15000 km/yr","finance.fleetCostOfCapital",0.0346,0,0.15,0.04,"At what fleet cost of capital does MML cost what long-term rental costs?"
"optimistic","What would have to be true: Corolla Touring Sports new at 15000 km/yr","finance.firstLifeConsumptionFactor",1.02,0.2,2,1.1,"At what first-life consumption factor does MML cost what long-term rental costs?"
