"set","placement","path","kind","mml","ownership","longTermRental"
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","curves.conditionAdjustment.good","assumption",36,-17,-15
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","curves.curves.hev","assumption",36,-17,-15
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.listPrice","evidence",36,-17,-15
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","energy.petrolPerLitre","assumption",20,20,20
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","energy.realUseUplift","assumption",20,20,20
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.consumption.per100km","evidence",20,20,20
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","curves.referenceAnnualKm","assumption",14,-13,-12
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.lifecycle.structuralLifeYears","assumption",-38,0,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.laterLifeConsumptionFactor","assumption",24,0,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.maintenancePerYear","evidence",6,6,6
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","insurance.comprehensiveShareOfValue","assumption",4,5,4
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","curves.kmAdjustmentPer5000","assumption",-3,4,4
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.maintenanceReferenceAnnualKm","assumption",-3,-4,-3
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","insurance.rcPremiumPerYear","evidence",3,3,4
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.tyresPerKm","assumption",3,2,3
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.fleetCostOfCapital","assumption",7,0,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.nltCostOfCapital","assumption",0,0,7
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.loanApr","evidence",0,6,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.retailMaintenanceUplift","assumption",0,6,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.loanFinancedShare","assumption",0,5,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.maintenanceAgeFactorPerYear","assumption",2,1,2
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.fleetDiscount","assumption",0,0,-4
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.maintenanceKmExponent","assumption",1,1,2
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.operationsMonthly","assumption",2,0,2
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.lifecycle.refurbishmentCost","assumption",4,0,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.agencyFeeMonthly","assumption",3,0,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.marginShare","assumption",3,0,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.nltMarginShare","assumption",0,0,3
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.nltDeductiblePerEvent","assumption",0,0,2
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.nltReturnConditionCharge","assumption",0,0,2
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.ownershipTaxMonthly","assumption",0,2,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.unplannedEventsPerYear","assumption",0,0,2
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","insurance.fleetDiscount","assumption",-1,0,-1
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","curves.materialCapitalFloorShare","assumption",1,0,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","curves.materialValuePerKg","assumption",1,0,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.ownershipRepairProvisionShare","assumption",0,1,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.warrantyPoolShare","assumption",1,0,0
"adverse","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.kerbMassKg","evidence",1,0,0
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","curves.conditionAdjustment.good","assumption",25,-16,-15
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","curves.curves.hev","assumption",25,-16,-15
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.listPrice","evidence",25,-16,-15
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","energy.petrolPerLitre","evidence",18,18,17
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","energy.realUseUplift","assumption",18,18,17
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.consumption.per100km","evidence",18,18,17
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","curves.referenceAnnualKm","assumption",10,-13,-12
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.lifecycle.structuralLifeYears","assumption",-20,0,0
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.maintenancePerYear","evidence",6,7,6
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.laterLifeConsumptionFactor","assumption",14,0,0
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","insurance.comprehensiveShareOfValue","assumption",4,5,3
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.maintenanceReferenceAnnualKm","assumption",-3,-4,-4
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","insurance.rcPremiumPerYear","evidence",3,4,3
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","curves.kmAdjustmentPer5000","assumption",-2,4,3
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.tyresPerKm","assumption",3,3,2
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.retailMaintenanceUplift","assumption",0,7,0
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.fleetCostOfCapital","assumption",6,0,0
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.loanApr","evidence",0,6,0
